"Name";"DisplayName";"Description";"Group";"Enabled";"Profile";"Platform";"Direction";"Action";"EdgeTraversalPolicy";"LooseSourceMapping";"LocalOnlyMapping";"Owner";"LocalAddress";"RemoteAddress";"Protocol";"LocalPort";"RemotePort";"IcmpType";"DynamicTarget";"Program";"Package";"Service";"InterfaceAlias";"InterfaceType";"LocalUser";"RemoteUser";"RemoteMachine";"Authentication";"Encryption";"OverrideBlockRules"
"FPS-SpoolSvc-In-TCP-NoScope";"File and Printer Sharing (Spooler Service - RPC)";"Inbound rule for File and Printer Sharing to allow the Print Spooler Service to communicate via TCP/RPC.";"@FirewallAPI.dll,-28502";"False";"Domain";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"RPC";"Any";"Any";"Any";"%SystemRoot%\system32\spoolsv.exe";;"Spooler";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"Collab-P2PHost-WSD-In-UDP";"Windows Peer to Peer Collaboration Foundation (WSD-In)";"Inbound rule for the Windows Peer to Peer Collaboration Foundation to discover devices via WSDAPI. [UDP 3702]";"@FirewallAPI.dll,-32002";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"UDP";"3702";"Any";"Any";"Any";"%SystemRoot%\system32\p2phost.exe";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"PNRPMNRS-PNRP-In-UDP";"Windows Collaboration Computer Name Registration Service (PNRP-In)";"Inbound rule for the Windows Collaboration Computer Name Registration Service to allow Peer Name Resolution. [UDP 3540]";"@FirewallAPI.dll,-34002";"False";"Any";"";"Inbound";"Allow";"DeferToApp";"False";"False";;"Any";"Any";"UDP";"3540";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"PNRPSvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RemoteEventLogSvc-In-TCP";"Remote Event Log Management (RPC)";"Inbound rule for the local Event Log service to be remotely managed via RPC/TCP.";"@FirewallAPI.dll,-29252";"False";"Private, Public";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"TCP";"RPC";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"Eventlog";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-IPv6-In";"Core Networking - IPv6 (IPv6-In)";"Inbound rule required to permit IPv6 traffic for ISATAP (Intra-Site Automatic Tunnel Addressing Protocol) and 6to4 tunneling services.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"41";"Any";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RemoteEventLogSvc-NP-In-TCP";"Remote Event Log Management (NP-In)";"Inbound rule for the local Event Log service to be remotely managed over Named Pipes.";"@FirewallAPI.dll,-29252";"False";"Private, Public";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"TCP";"445";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"SNMPTRAP-In-UDP";"SNMP Trap Service (UDP In)";"Inbound rule for the SNMP Trap Service to allow SNMP traps. [UDP 162]";"@firewallapi.dll,-50323";"False";"Private, Public";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"UDP";"162";"Any";"Any";"Any";"%SystemRoot%\system32\snmptrap.exe";;"SNMPTRAP";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"DeliveryOptimization-UDP-In";"Delivery Optimization (UDP-In)";"Inbound rule to allow Delivery Optimization to connect to remote endpoints";"@%systemroot%\system32\dosvc.dll,-100";"True";"Any";"";"Inbound";"Allow";"Allow";"False";"False";;"Any";"Any";"UDP";"7680";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"dosvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"NETDIS-LLMNR-In-UDP";"Network Discovery (LLMNR-UDP-In)";"Inbound rule for Network Discovery to allow Link Local Multicast Name Resolution. [UDP 5355]";"@FirewallAPI.dll,-32752";"False";"Domain, Public";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"UDP";"5355";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"dnscache";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-RA-In";"Core Networking - Router Advertisement (ICMPv6-In)";"Router Advertisement messages are sent by routers to other nodes for stateless auto-configuration.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"fe80::/64";"ICMPv6";"RPC";"Any";"134";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP4-DUFRAG-In";"Core Networking - Destination Unreachable Fragmentation Needed (ICMPv4-In)";"Destination Unreachable Fragmentation Needed error messages are sent from any node that a packet traverses which is unable to forward the packet because fragmentation was needed and the don't fragment bit was set.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"ICMPv4";"RPC";"Any";"3:4";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-DHCP-In";"Core Networking - Dynamic Host Configuration Protocol (DHCP-In)";"Allows DHCP (Dynamic Host Configuration Protocol) messages for stateful auto-configuration.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"UDP";"68";"67";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"dhcp";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"FPS-NB_Session-In-TCP-NoScope";"File and Printer Sharing (NB-Session-In)";"Inbound rule for File and Printer Sharing to allow NetBIOS Session Service connections. [TCP 139]";"@FirewallAPI.dll,-28502";"False";"Domain";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"139";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"FPS-SpoolSvc-In-TCP";"File and Printer Sharing (Spooler Service - RPC)";"Inbound rule for File and Printer Sharing to allow the Print Spooler Service to communicate via TCP/RPC.";"@FirewallAPI.dll,-28502";"False";"Private, Public";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"TCP";"RPC";"Any";"Any";"Any";"%SystemRoot%\system32\spoolsv.exe";;"Spooler";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"RRAS-GRE-In";"Routing and Remote Access (GRE-In)";"Inbound rule for RRAS to allow Generic Routing Encapsulation Protocol traffic.";"@FirewallAPI.dll,-33752";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"47";"Any";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"TPMVSCMGR-RPCSS-In-TCP-NoScope";"TPM Virtual Smart Card Management (DCOM-In)";"Inbound rule for remote TPM Virtual Smart Card Management to allow DCOM activation. [TCP 135]";"@FirewallAPI.dll,-36501";"False";"Domain";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"135";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"rpcss";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"NETDIS-DAS-In-UDP-Active";"Network Discovery (WSD-In)";"Inbound rule for Network Discovery to discover devices via Device Association Framework. [UDP 3702]";"@FirewallAPI.dll,-32752";"True";"Private";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"UDP";"3702";"Any";"Any";"Any";"%SystemRoot%\system32\dashost.exe";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-DHCPV6-In";"Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-In)";"Allows DHCPV6 (Dynamic Host Configuration Protocol for IPv6) messages for stateful and stateless configuration.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"UDP";"546";"547";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"dhcp";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"MSDTC-KTMRM-In-TCP";"Distributed Transaction Coordinator (RPC)";"Inbound rule for the Kernel Transaction Resource Manager for Distributed Transaction Coordinator service to be remotely managed via RPC/TCP.";"@FirewallAPI.dll,-33502";"False";"Private, Public";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"TCP";"RPC";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"ktmrm";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"NETDIS-SSDPSrv-In-UDP-Teredo";"Network Discovery for Teredo (SSDP-In)";"Inbound rule for Network Discovery to allow use of the Simple Service Discovery Protocol. [UDP 1900]";"@FirewallAPI.dll,-32752";"False";"Public";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"UDP";"Any";"Any";"Any";;"%SystemRoot%\system32\svchost.exe";;"Ssdpsrv";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"Wininit-Shutdown-In-Rule-TCP-RPC";"Inbound Rule for Remote Shutdown (TCP-In)";"Inbound rule for the Remote Shutdown via dynamic RPC/TCP.";"@firewallapi.dll,-36751";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"RPC";"Any";"Any";"Any";"%SystemRoot%\system32\wininit.exe";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"MSDTC-RPCSS-In-TCP-NoScope";"Distributed Transaction Coordinator (RPC-EPMAP)";"Inbound rule for the RPCSS service to allow RPC/TCP traffic for the Kernel Transaction Resource Manager for Distributed Transaction Coordinator service.";"@FirewallAPI.dll,-33502";"False";"Domain";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"RPCEPMap";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"RPCSS";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"WFDPRINT-SCAN-In-Active";"Wi-Fi Direct Scan Service Use (In)";"Inbound rule to use WSD scanners on Wi-Fi Direct networks.";"@FirewallAPI.dll,-36851";"True";"Public";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"Any";"Any";"Any";"Any";"WifiDirectPrinting";"%SystemRoot%\system32\svchost.exe";;"stisvc";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"NETDIS-FDPHOST-In-UDP-Active";"Network Discovery (WSD-In)";"Inbound rule for Network Discovery to discover devices via Function Discovery. [UDP 3702]";"@FirewallAPI.dll,-32752";"True";"Private";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"UDP";"3702";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"fdphost";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"CoreNet-ICMP6-NDS-In";"Core Networking - Neighbor Discovery Solicitation (ICMPv6-In)";"Neighbor Discovery Solicitations are sent by nodes to discover the link-layer address of another on-link IPv6 node.";"@FirewallAPI.dll,-25000";"True";"Any";"";"Inbound";"Allow";"Allow";"False";"False";;"Any";"Any";"ICMPv6";"RPC";"Any";"135";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"EventForwarder-RPCSS-In-TCP";"Remote Event Monitor (RPC-EPMAP)";"Inbound rule for the RPCSS service to allow RPC/TCP traffic for remote event monitoring.";"@FirewallAPI.dll,-36801";"False";"Any";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"Any";"TCP";"RPCEPMap";"Any";"Any";"Any";"%SystemRoot%\system32\svchost.exe";;"RPCSS";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
"NETDIS-WSDEVNT-In-TCP-Active";"Network Discovery (WSD Events-In)";"Inbound rule for Network Discovery to allow WSDAPI Events via Function Discovery. [TCP 5357]";"@FirewallAPI.dll,-32752";"True";"Private";"";"Inbound";"Allow";"Block";"False";"False";;"Any";"LocalSubnet";"TCP";"5357";"Any";"Any";"Any";"System";;"Any";"Any";"Any";"Any";"Any";"Any";"NotRequired";"NotRequired";"False"
